Entry	Entry Name
A0MZ67	SHOT1_RAT
A0MZF5	A0MZF5_HUMAN
A0N0X8	A0N0X8_HUMAN
A0PJK1	SC5AA_HUMAN
A0PJY2	FEZF1_HUMAN
A0PK00	T120B_HUMAN
A0PK11	CLRN2_HUMAN
A1A4E9	A1A4E9_HUMAN
A1A4S6	RHG10_HUMAN
A1A4Y4	IRGM_HUMAN
A1A519	F170A_HUMAN
A1A546	ISX_MOUSE
A1A547	PGRP3_MOUSE
A1A5B4	ANO9_HUMAN
A1A5C7	S22AN_HUMAN
A1A5Q0	LMOD2_RAT
A1A5Q5	KDM4D_RAT
A1A5R1	RFOX2_RAT
A1BPI0	OAZ3_RAT
A1E959	ODAM_HUMAN
A1E960	ODAM_MOUSE
A1KXC4	FCMR_MOUSE
A1KXE4	F168B_HUMAN
A1KZ92	PXDNL_HUMAN
A1L0T0	HACL2_HUMAN
A1L167	U2QL1_HUMAN
A1L190	SYCE3_HUMAN
A1L1K8	HABP4_RAT
A1L1L6	MIRO1_RAT
A1L314	MPEG1_MOUSE
A1L338	A1L338_MOUSE
A1L390	PKHG3_HUMAN
A1L3C1	GAR5A_MOUSE
A1L3P4	SL9A6_MOUSE
A1L3X0	ELOV7_HUMAN
A1L4H1	SRCRL_HUMAN
A1L4K1	FSD2_HUMAN
A1L4Q0	A1L4Q0_HUMAN
A1X283	SPD2B_HUMAN
A1XBS5	CBAR1_HUMAN
A1Y9I9	TOMT_MOUSE
A1YYM3	A1YYM3_MOUSE
A1YYM4	A1YYM4_MOUSE
A1YYM5	A1YYM5_MOUSE
A1YYM6	A1YYM6_MOUSE
A1YYM7	A1YYM7_MOUSE
A1YYM8	A1YYM8_MOUSE
A1YYM9	A1YYM9_MOUSE
A1YYN0	A1YYN0_MOUSE
A1YYN1	A1YYN1_MOUSE
A1YYN2	A1YYN2_MOUSE
A1YYN5	A1YYN5_MOUSE
A1YYN6	A1YYN6_MOUSE
A1YYN7	A1YYN7_MOUSE
A1YYN9	A1YYN9_MOUSE
